STT,Câu Hỏi,Đáp Án Đúng,Đáp Án Sai 1,Đáp Án Sai 2,Đáp Án Sai 3
31,Nhà nước xã hội chủ nghĩa hiện thực đầu tiên được thành lập ở đâu?,Liên Xô,Cu Ba,Trung Quốc,Việt Nam
32,Nhà nước xã hội chủ nghĩa mang bản chất của giai cấp nào?,công nhân,chủ nô,địa chủ,tư sản
33,Nội dung chủ yếu và mục đích cuối cùng của nhà nước xã hội chủ nghĩa là gì?,"cải tạo xã hội cũ, xây dựng thành công xã hội mới",bạo lực trấn áp đối với thiểu số bóc lột,"cải tạo xã hội cũ, đưa giai cấp công nhân lên địa vị làm chủ","bạo lực trấn áp đối với thiểu số bóc lột, cải tạo xã hội cũ"
34,Nội dung nào dưới đây không phải là đặc trưng cơ bản của nền dân chủ xã hội chủ nghĩa?,"Thực hiện dân chủ với mọi tầng lớp, mọi giai cấp trong xã hội",Đảm bảo quyền lực thuộc về nhân dân,"Kết hợp hài hòa lợi ích cá nhân, tập thể, xã hội",Có cơ sở kinh tế là chế độ công hữu về tư liệu sản xuất chủ yếu của xã hội
35,Nội dung nào dưới đây không phải là định hướng nhằm tiếp tục xây dựng và hoàn thiện Nhà nước pháp quyền xã hội chủ nghĩa ở Việt Nam,Xây dựng Nhà nước pháp quyền xã hội chủ nghĩa đặt dưới sự lãnh đạo của nhân dân,Cải cách thể chế và phương thức hoạt động của Nhà nước,"Đấu tranh phòng, chống tham nhũng, lãng phí, thực hành tiết kiệm","Xây dựng đội ngũ cán bộ, công chức trong sạch, có năng lực"
36,Quan niệm nào sau đây không đúng về dân chủ?,Dân chủ là quyền tự do tuyệt đối của con người,Dân chủ là một hình thái nhà nước,Dân chủ là một trong những tắc tổ chức quản lí nhà nước,Dân chủ là một giá trị chung của nhân loại
37,"Theo quan niệm của chủ nghĩa Mác – Lênin, dân chủ phản ánh cuộc đấu tranh của nhân dân lao động chống lại áp bức, cường quyền, vì thế dân chủ được coi là gì?",một giá trị xã hội,yếu tố xã hội,tổ chức xã hội,thành phần xã hội
38,Tổ chức nào dưới đây đóng vai trò trụ cột trong hệ thống chính trị ở nước ta hiện nay?,Nhà nước cộng hòa xã hội chủ nghĩa Việt Nam,Đảng Cộng sản Việt Nam,Các tổ chức chính trị - xã hội,Mặt trận tổ quốc
39,"Trên phương diện chế độ xã hội và trong lĩnh vực chính trị, dân chủ là gì?",một hình thức hay hình thái nhà nước,"một quan niệm – quan niệm về dân chủ, về tinh thần dân chủ",quyền lực thuộc về nhân dân,một nguyên tắc – nguyên tắc dân chủ
40,"Trên phương diện quyền lực, dân chủ là gì?",quyền lực thuộc về nhân dân,một nguyên tắc – nguyên tắc dân chủ,"một quan niệm – quan niệm về dân chủ, về tinh thần dân chủ",một hình thức hay hình thái nhà nước
41,Trong chế độ cộng sản nguyên thuỷ của dân chủ mà Ph. Ăngghen gọi là đã xuất hiện hình thức manh nha mà Ph.Ăngghen gọi là gì?,dân chủ nguyên thuỷ,dân chủ công xã,dân chủ cộng sản,dân chủ sơ khai
42,"Trong việc thực hiện quyền dân chủ trên lĩnh vực chính trị, công dân sẽ không thực hiện hành vi nào sau đây?","Kiểm tra, thanh tra mọi hoạt động của nhà nước",Tham gia quản lí nhà nước,Ứng cử và bầu cử,Tham gia giám sát mọi hoạt động của nhà nước
43,"Trong xã hội có giai cấp, nhà nước luôn mang bản chất của của giai cấp nào?",giai cấp thống trị xã hội,giai cấp đại diện cho lực lượng sản xuất tiên tiến,giai cấp có trình độ cao nhất,giai cấp có lực lượng đông đảo nhất
44,"Về văn hóa, xã hội, nhà nước xã hội chủ nghĩa được xây dựng trên nền tảng tinh thần là gì?","lí luận của chủ nghĩa Mác – Lênin và những giá trị văn hóa tiên tiến của nhân loại, đồng thời mang bản sắc riêng của dân tộc","tư tưởng Hồ Chí Minh về chủ nghĩa xã hội và những giá trị văn hóa tiên tiến nhân loại, đồng thời mang bản sắc riêng của dân tộc",lí luận của chủ nghĩa Mác – Lênin và những giá trị văn hóa tiên tiến của nhân loại,tư tưởng Hồ Chí Minh về chủ nghĩa xã hội
45,"Với tư cách là một hình thái nhà nước, một chế độ chính trị, lịch sử nhân loại có ba nền dân chủ, đó là những nền dân chủ nào?","dân chủ chủ nô, dân chủ tư sản và dân chủ xã hội chủ nghĩa","dân chủ nguyên thuỷ, dân chủ phong kiến và dân chủ tư sản","dân chủ nguyên thuỷ, dân chủ tư sản và dân chủ xã hội chủ nghĩa","dân chủ chủ nô, dân chủ phong kiến và dân chủ tư sản"
